,rankings_blue_top,rankings_blue_jungle,rankings_blue_mid,rankings_blue_adc,rankings_blue_support,rankings_red_top,rankings_red_jungle,rankings_red_mid,rankings_red_adc,rankings_red_support,champ_winrate_blue_top,champ_winrate_blue_jungle,champ_winrate_blue_mid,champ_winrate_blue_adc,champ_winrate_blue_support,champ_winrate_red_top,champ_winrate_red_jungle,champ_winrate_red_mid,champ_winrate_red_adc,champ_winrate_red_support,champ_total_games_blue_top,champ_total_games_blue_jungle,champ_total_games_blue_mid,champ_total_games_blue_adc,champ_total_games_blue_support,champ_total_games_red_top,champ_total_games_red_jungle,champ_total_games_red_mid,champ_total_games_red_adc,champ_total_games_red_support,result
0,460,460,460,480,480,480,460,520,480,480,0.33,0.17,0.0,0.52,0.0,0.62,0.6,0.8,0.7,0.45,9,6,1,206,1,13,42,5,10,20,0
1,520,520,520,520,520,520,480,520,480,480,1.0,0.4,0.6,0.5,0.64,0.29,0.0,0.57,0.5,0.5,2,10,94,8,14,34,3,7,10,12,1
2,460,520,520,480,480,480,520,520,520,520,0.63,0.56,0.42,0.5,0.5,0.6,0.61,0.43,0.53,0.45,19,190,43,10,12,10,85,7,53,20,0
3,480,480,520,460,520,520,480,520,480,480,0.57,0.6,0.64,0.46,0.29,0.6,0.62,0.56,0.5,0.4,282,78,67,13,7,444,125,45,2,5,0
4,520,520,460,480,480,480,520,520,440,560,0.44,0.25,0.75,0.5,0.5,0.37,0.56,0.25,0.49,0.67,131,8,4,10,12,76,9,8,49,6,0
5,520,440,560,520,520,480,520,520,480,480,0.55,0.56,0.71,0.44,0.53,0.58,0.38,0.21,0.67,0.5,520,9,21,25,650,101,16,14,3,4,1
6,480,520,520,480,480,440,520,540,520,480,0.25,0.5,0.61,0.4,0.4,0.6,0.39,0.5,0.52,0.6,4,6,74,5,5,35,28,16,103,53,0
7,440,540,520,480,480,480,480,520,520,460,0.58,0.54,0.3,0.4,0.57,1.0,0.5,0.56,0.76,0.68,139,26,23,5,7,1,6,61,29,38,0
8,460,540,540,480,480,520,520,520,520,520,0.64,0.5,0.58,0.67,0.5,0.53,0.63,0.53,0.5,0.33,14,18,19,3,4,187,16,193,8,3,0
9,520,520,520,480,480,460,520,460,480,520,0.61,0.57,0.42,0.6,0.57,0.33,0.5,0.5,0.0,0.33,64,14,55,10,7,6,16,36,1,6,0
10,480,520,540,480,480,520,520,520,520,460,0.52,0.54,0.5,0.67,0.5,0.57,0.56,0.6,0.75,0.55,27,54,12,3,4,189,161,368,12,58,0
11,520,480,520,480,480,520,520,520,520,520,0.5,0.7,0.62,0.6,1.0,0.51,0.56,0.58,0.22,0.57,6,10,93,10,3,106,110,97,9,128,0
12,520,520,520,480,480,540,520,520,520,520,0.56,0.56,0.5,0.6,0.57,0.73,0.69,0.59,0.58,0.52,9,161,26,10,7,26,35,34,12,201,0
13,460,520,520,480,520,480,480,480,480,460,0.52,0.0,0.46,0.0,0.2,0.59,0.52,0.52,0.6,0.57,46,2,13,2,5,118,85,60,10,7,0
14,520,440,480,520,520,520,480,460,520,520,0.29,0.59,0.6,0.43,0.5,0.57,0.0,0.5,0.52,0.56,7,27,10,134,2,368,1,2,166,279,1
15,480,480,480,480,480,480,480,480,520,480,0.5,0.0,0.0,0.62,0.56,0.89,0.62,0.5,0.43,0.58,2,1,1,21,63,9,37,2,35,97,0
16,480,460,460,480,520,480,460,460,460,520,0.33,0.54,0.57,0.33,0.56,0.64,0.72,0.5,0.55,0.29,3,175,202,9,25,129,18,2,29,7,0
17,520,480,460,520,520,460,520,480,520,480,0.41,0.46,0.5,0.27,0.61,1.0,0.47,1.0,1.0,0.5,34,13,6,15,33,1,15,2,3,12,0
18,520,480,480,520,520,480,480,460,520,520,0.55,0.59,0.49,0.48,0.51,0.0,0.5,0.6,0.5,0.32,69,87,67,44,463,1,4,5,2,19,1
19,480,460,520,480,480,460,520,540,480,480,0.6,0.35,0.67,0.25,0.67,0.5,0.5,0.0,0.4,0.5,5,43,3,8,18,2,4,3,5,6,1
20,480,480,520,480,520,520,480,480,480,480,0.5,0.44,0.5,0.5,0.54,0.57,0.29,0.5,0.6,0.0,28,18,4,68,70,263,7,6,10,4,1
21,480,480,480,520,460,480,480,540,420,520,0.67,0.67,0.49,1.0,0.5,0.5,0.0,0.59,0.49,0.5,9,3,57,1,10,2,1,68,75,2,1
22,520,520,520,480,480,520,520,480,520,520,0.0,0.33,0.4,0.78,0.5,0.64,0.72,0.67,0.51,0.5,3,6,15,9,4,42,43,3,146,38,0
23,460,460,520,540,460,480,560,480,520,440,0.0,0.43,0.47,0.64,0.0,0.5,0.61,0.6,0.63,0.73,1,30,55,11,1,2,38,5,8,37,0
24,460,480,480,520,460,460,520,460,480,520,0.5,0.58,0.6,0.5,0.54,0.57,0.54,0.0,0.52,0.64,2,38,5,66,26,70,48,2,190,28,0
25,480,480,480,520,520,520,520,520,460,520,0.63,1.0,0.6,0.71,0.88,0.39,0.42,0.64,0.8,0.4,8,1,5,21,8,13,24,58,5,15,0
26,520,520,480,480,480,520,440,480,480,480,0.58,0.43,0.56,0.5,0.5,0.6,0.64,0.59,0.62,0.33,19,30,59,2,4,45,14,51,26,6,0
27,480,540,520,520,520,520,540,480,520,520,0.79,0.61,0.55,0.6,0.57,0.56,0.58,0.65,0.29,0.33,19,18,42,35,21,225,101,140,7,6,1
28,540,460,480,520,520,480,520,520,540,520,0.39,0.14,0.5,0.52,0.48,0.65,0.55,0.56,0.5,0.5,31,7,34,111,92,140,242,225,24,6,0
29,520,520,480,520,480,520,520,520,520,520,0.56,0.53,0.65,0.8,0.49,0.32,0.55,0.6,0.48,0.52,225,17,140,5,37,28,44,149,25,71,0
30,520,440,480,520,540,560,440,520,540,440,0.56,0.5,0.43,0.44,0.6,0.52,0.2,0.55,0.25,0.45,225,4,7,81,50,62,5,106,4,20,0
31,520,460,520,480,520,480,480,520,520,520,0.6,0.75,0.47,0.65,0.4,0.48,0.44,0.33,0.47,0.48,10,8,38,31,107,29,9,9,17,132,1
32,420,480,540,520,480,520,540,480,460,460,0.5,0.0,0.42,0.2,0.44,0.66,0.63,0.58,0.83,0.72,10,1,36,5,34,85,8,72,12,39,0
33,460,520,480,460,540,520,520,480,520,520,0.6,0.59,0.6,0.51,0.42,0.5,0.33,0.5,0.23,0.56,20,100,229,41,19,12,3,6,13,86,1
34,520,520,480,520,520,520,520,520,520,480,0.59,0.4,0.65,0.0,0.67,0.57,0.57,0.75,0.53,0.71,118,15,63,1,3,324,63,4,15,14,0
35,480,520,520,520,520,520,480,480,520,480,0.48,0.68,0.1,0.4,0.67,0.56,0.48,0.43,0.52,1.0,64,25,10,5,3,225,52,7,98,1,1
36,520,520,520,480,520,520,520,460,520,420,0.33,0.57,0.56,0.47,0.61,0.69,0.46,0.48,0.67,0.62,3,46,225,38,36,39,33,21,9,13,0
37,560,560,520,480,460,520,480,460,460,560,0.67,0.71,0.62,0.4,0.61,0.56,0.35,0.5,0.4,0.65,6,24,220,5,33,225,17,8,15,17,1
38,520,520,520,480,460,520,520,480,480,520,0.38,0.5,0.56,0.0,0.0,0.56,0.54,0.58,0.67,0.59,8,8,88,2,2,225,448,76,39,177,0
